Port_IDs,ROI,PnL,Sharpe Ratio,MDD,Win Rate,Win Positions,Total Positions,score,rank
3944088772635000577,0.23626826781803,0.23626826781803,0.5657882510348284,5.461102800785048e-78,0.5700500381915147,2774.0,6063.0,0.30011020132603367,21.0
3944239644144231424,0.13229853629255778,0.13229853629255778,0.24521848842966731,3.789961654922416e-76,0.3296345005205764,227.0,858.0,0.1547713426988979,146.0
3944658614777849089,0.1709768235660363,0.17097682356603627,0.3966448051780413,5.461102800785048e-78,0.5537472372915411,20.0,45.0,0.22874093772608234,93.0
3946087913459823360,0.14590001135428582,0.14590001135428582,0.23664457007361886,5.465157328750914e-78,0.39517623302194205,1930.0,6085.0,0.1670915435617752,144.0
3949214983441029120,0.1620033504291464,0.1620033504291464,0.386723460037404,5.461145360254248e-78,0.4606920310248334,1675.0,4530.0,0.2125157378459947,117.0
3949329502284748801,0.1514324000220806,0.1514324000220806,0.3647443534973321,5.46110280078433e-78,0.2336121157323689,72.0,384.0,0.17959790228484762,141.0
3951723256343550465,0.2087449492189469,0.2087449492189469,0.39127681719205126,6.054716733049945e-78,0.43916637944466214,1215.0,3447.0,0.23698172345329727,84.0
3952087967771302912,0.1586247212179605,0.1586247212179605,0.3531802960190894,5.461102800785048e-78,0.4201396189915471,58.0,172.0,0.19989361777285086,127.0
3953433416230728705,0.2047700965927459,0.20477009659274586,0.3984824563200934,3.0650439469406077e-76,0.2600615583105435,110.0,527.0,0.2183262002210833,107.0
3953764659057081857,0.21809746794607213,0.21809746794607213,0.36386414815641555,5.461102800785048e-78,0.38467861252671376,180.0,583.0,0.23119429825429416,90.0
3956048468100538880,0.162667135760933,0.162667135760933,0.3557257599346315,5.460919846575676e-78,0.8899509170756911,20.0,28.0,0.24960716836300859,68.0
3956076827719377409,0.345444407472006,0.34544440747200594,0.40738252406675973,2.7108037754898204e-42,0.6423736624632655,2019.0,3916.0,0.3357082951692818,13.0
3957509601040585217,0.18401521789724204,0.18401521789724204,0.3557268367609769,6.148360268226624e-78,0.33583053474554375,300.0,1113.0,0.20593679067023288,120.0
3960874214179953664,0.37837393887195964,0.37837393887195964,0.476040876715392,5.461421815371856e-78,0.642506596844859,1233.0,2391.0,0.3675645014071421,7.0
3962024093501274881,0.25681472604623873,0.2568147260462387,0.3871935977407356,1.551347593561679e-73,0.32983412621862607,337.0,1273.0,0.251670231495441,65.0
3966142151544441601,0.20428446326906452,0.20428446326906452,0.33335958532895454,3.7305022161592073e-75,0.6629489440245002,1028.0,1932.0,0.24532326626622641,71.0
3975304792994095360,0.17644991765431436,0.17644991765431436,0.5443628052520073,5.461102800785048e-78,0.5314883245538171,1040.0,2438.0,0.25906884821565607,48.0
3975392755164484097,0.1740098273232632,0.17400982732326317,0.42446475189449784,2.7261279792104442e-76,0.348779014412168,512.0,1829.0,0.21547625684791114,112.0
3976088733682659585,0.21634614840301167,0.21634614840301164,0.42730622692160686,9.019644757414183e-76,0.5428257832511428,1226.0,2814.0,0.2587342053310921,50.0
